accession	ESMC 600M	ESM3 Open	ESMC 6B	ESM3 Medium	ESM3 Large	n_models_low	mean_ppl_all_models	family	organism	protein_name
P24737	False	False	False	False	False	0	18.50125193883708	Retroviridae	Human immunodeficiency virus type 1 group M subtype A (isolate U455) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
O70897	False	False	False	False	False	0	18.830947201546117	Retroviridae	Human immunodeficiency virus type 1 group M subtype H (isolate 90CF056) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
O91081	False	False	False	False	False	0	19.575749582458354	Retroviridae	Human immunodeficiency virus type 1 group N (isolate YBF30) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P04597	False	False	False	False	False	0	20.048506502314844	Retroviridae	Human immunodeficiency virus type 1 group M subtype D (isolate ELI) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
Q9WC55	False	False	False	False	False	0	19.051574492510753	Retroviridae	Human immunodeficiency virus type 1 group M subtype J (isolate SE9280) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
O12159	False	False	False	False	False	0	19.105657533522038	Retroviridae	Human immunodeficiency virus type 1 group M subtype C (isolate 92BR025) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
O70887	False	False	False	False	False	0	19.421004142013537	Retroviridae	Human immunodeficiency virus type 1 group M subtype F1 (isolate 93BR020) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P05900	False	False	False	False	False	0	19.63242267178719	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate RF/HAT3) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P20877	False	False	False	False	False	0	19.09707191531556	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate JRCSF) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P31820	False	False	False	False	False	0	18.462242636900545	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate N1T-A) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
Q89428	False	False	False	False	False	0	19.032528894603615	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (strain 89.6) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
Q9Q719	False	False	False	False	False	0	19.38152472719417	Retroviridae	Human immunodeficiency virus type 1 group M subtype H (isolate VI991) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P0DKA8	False	False	False	False	False	0	14.320761983206188	Papillomaviridae	Human papillomavirus 57	Protein E8^E2C
P20989	False	True	False	False	False	1	13.13709236790788	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	25 kDa core protein OPG138 [Cleaved into: 17 kDa core protein OPG138 (17K)]
Q89660	False	True	False	True	False	2	10.919164633083305	Orthoherpesviridae	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human B lymphotropic virus)	Uncharacterized protein DR3
P12504	False	False	False	False	False	0	19.288979905541073	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate NY5) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P69723	False	False	False	False	False	0	18.40757726530562	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P0C1K6	False	False	False	False	False	0	19.056752665366087	Retroviridae	Human immunodeficiency virus type 1 group M subtype K (isolate 97ZR-EQTB11) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P03402	False	False	False	False	False	0	19.22836867518448	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P20890	False	False	False	False	False	0	19.609277296880528	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate OYI) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
O41799	False	False	False	False	False	0	19.38623170791083	Retroviridae	Human immunodeficiency virus type 1 group M subtype G (isolate 92NG083) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P0C1L8	False	False	False	False	False	0	20.558011219073073	Retroviridae	Human immunodeficiency virus type 1 group M subtype F2 (isolate MP255) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
P0C1L9	False	False	False	False	False	0	19.50488256594484	Retroviridae	Human immunodeficiency virus type 1 group M subtype F2 (isolate MP257) (HIV-1)	Virion infectivity factor (Vif) (SOR protein) [Cleaved into: p17; p7]
Q96831	True	True	True	True	False	4	9.001625460497015	Adenoviridae	Human adenovirus E serotype 4 (HAdV-4) (Human adenovirus 4)	Pre-histone-like nucleoprotein (Pre-core protein VII) (pVII) [Cleaved into: pVIIn2; Histone-like nucleoprotein (NP) (Core protein VII)]
NP_050182.1	True	True	False	True	True	4	6.930839359151271			
P04545	False	False	False	False	True	1	11.488678909666017	Pneumoviridae	Human respiratory syncytial virus A (strain A2)	Protein M2-1 (Envelope-associated 22 kDa protein) (Transcription antitermination factor M2-1) (Vp24)
Q91DH7	False	True	False	True	False	2	11.677695940426977	Kolmioviridae	Hepatitis delta virus genotype III (isolate VnzD8624) (HDV)	Small delta antigen (S-HDAg) (p24)
Q91DH8	False	False	False	True	False	1	12.317698498005445	Kolmioviridae	Hepatitis delta virus genotype III (isolate VnzD8349) (HDV)	Small delta antigen (S-HDAg) (p24)
Q91DH9	False	True	False	True	False	2	11.215958296903702	Kolmioviridae	Hepatitis delta virus genotype III (isolate VnzD8375) (HDV)	Small delta antigen (S-HDAg) (p24)
Q4KRW3	False	True	False	False	True	2	11.348436081400063	Pneumoviridae	Human respiratory syncytial virus	Protein M2-1 (Envelope-associated 22 kDa protein) (Transcription antitermination factor M2-1) (Vp24)
Q81842	True	True	False	True	False	3	9.465935017544489	Kolmioviridae	Hepatitis delta virus genotype III (isolate Peru-1) (HDV)	Small delta antigen (S-HDAg) (p24)
P21065	False	False	False	False	False	0	15.455635355581245	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein A43
Q2HRA1	False	False	False	False	False	0	17.69891214676972	Orthoherpesviridae	Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	Protein ORF31
A5HBD7	False	False	True	True	False	2	11.178450016601833	Polyomaviridae	WU polyomavirus (WUPyV)	Small t antigen (ST) (ST-AG)
P0C6L3	False	True	False	True	False	2	10.15110130587368	Kolmioviridae	Hepatitis delta virus genotype I (isolate D380) (HDV)	Small delta antigen (S-HDAg) (p24)
P25880	True	True	False	True	False	3	10.26267587376949	Kolmioviridae	Hepatitis delta virus genotype I (isolate Nauru) (HDV)	Small delta antigen (S-HDAg) (p24)
P29997	True	True	False	True	False	3	10.25581580153862	Kolmioviridae	Hepatitis delta virus genotype I (isolate Woodchuck) (HDV)	Small delta antigen (S-HDAg) (p24)
Q9E925	True	True	False	True	False	3	10.66534700036963	Kolmioviridae	Hepatitis delta virus genotype II (isolate TW2476) (HDV)	Small delta antigen (S-HDAg) (p24)
Q81835	False	True	False	True	False	2	10.44659307373551	Kolmioviridae	Hepatitis delta virus genotype I (isolate US-2) (HDV)	Small delta antigen (S-HDAg) (p24)
P06934	False	True	False	True	False	2	10.508958081666274	Kolmioviridae	Hepatitis delta virus genotype I (isolate Italian) (HDV)	Small delta antigen (S-HDAg) (p24)
P25881	False	True	False	True	False	2	10.148558855166645	Kolmioviridae	Hepatitis delta virus genotype I (isolate Japanese M-1) (HDV)	Small delta antigen (S-HDAg) (p24)
P69619	True	True	False	True	False	3	9.696031231197662	Kolmioviridae	Hepatitis delta virus genotype II (isolate Japanese S-1) (HDV)	Small delta antigen (S-HDAg) (p24)
P0DJX1	True	True	False	True	False	3	9.737703077518493	Adenoviridae	Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)	Packaging protein 2 (Packaging protein 22K) (L4-22K)
P25882	True	True	False	True	False	3	10.139523612532901	Kolmioviridae	Hepatitis delta virus genotype I (isolate Japanese M-2) (HDV)	Small delta antigen (S-HDAg) (p24)
P25884	True	True	False	True	False	3	9.863749057743343	Kolmioviridae	Hepatitis delta virus genotype I (isolate Japanese S-2) (HDV)	Small delta antigen (S-HDAg) (p24)
P25989	True	True	False	True	False	3	10.560547183496647	Kolmioviridae	Hepatitis delta virus genotype I (isolate American) (HDV)	Small delta antigen (S-HDAg) (p24)
O42050	False	False	False	False	True	1	12.159741358014703	Pneumoviridae	Human respiratory syncytial virus B (strain B1)	Protein M2-1 (Envelope-associated 22 kDa protein) (Transcription antitermination factor M2-1)
P0DTC0	True	True	False	True	False	3	9.771139900407144	Kolmioviridae	Hepatitis delta virus genotype I (isolate HDV/Human/Central African Republic/FH27/1985) (HDV)	Small delta antigen (S-HDAg) (p24)
P29833	True	True	False	True	False	3	10.540753863699429	Kolmioviridae	Hepatitis delta virus genotype I (isolate Lebanon-1) (HDV)	Small delta antigen (S-HDAg) (p24)
P0DSY5	False	False	False	False	False	0	13.960712981592627	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein A43
P0C683	False	False	False	True	True	2	10.292617235671361	Hepadnaviridae	Hepatitis B virus genotype G (isolate United States/USG17/2002) (HBV-G)	Capsid protein (Core antigen) (Core protein) (HBcAg) (p21.5)
P29178	False	True	False	True	True	3	9.909036135669995	Hepadnaviridae	Hepatitis B virus genotype G subtype adw2 (isolate United States/sf/1990) (HBV-G)	Capsid protein (Core antigen) (Core protein) (HBcAg) (p21.5)
P0C682	False	False	False	True	True	2	10.074117731563252	Hepadnaviridae	Hepatitis B virus genotype G (isolate IG29227/2000) (HBV-G)	Capsid protein (Core antigen) (Core protein) (HBcAg) (p21.5)
Q2KS03	False	True	False	True	False	2	10.216502797046981	Adenoviridae	Human adenovirus C serotype 5 (HAdV-5) (Human adenovirus 5)	Packaging protein 2 (Packaging protein 22K) (L4-22K)
A0A7H0DNE0	False	False	False	False	False	0	14.711171869238933	Poxviridae	Monkeypox virus (MPXV)	Protein OPG172
NP_040178.2	False	False	False	False	False	0	17.619367254755325			
Q910F1	False	True	False	False	False	1	13.138085559196199	Sedoreoviridae	Rotavirus A (strain RVA/Human/United States/M/1976/G3P[X]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
A3DSL0	False	True	False	False	False	1	13.589893591903841	Sedoreoviridae	Rotavirus A (strain RVA/Human/Philippines/L26/1987/G12P1B[4]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
B3SRY1	False	False	False	False	False	0	13.626188908871418	Sedoreoviridae	Rotavirus A (isolate RVA/Human/United States/WI61/1983/G9P1A[8]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
P04516	False	False	False	False	False	0	14.694601032876482	Sedoreoviridae	Rotavirus A (strain RVA/Human/United States/Wa/1974/G1P1A[8]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
Q9QNA5	False	True	False	False	False	1	12.983452577249286	Sedoreoviridae	Rotavirus A (strain RVA/Human/Japan/KU/1995/G1P1A[8]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
B3SRS5	False	True	False	False	False	1	13.398442288121876	Sedoreoviridae	Rotavirus A (strain RVA/Human/United States/D/1974/G1P1A[8]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
B3SRV7	False	True	False	False	False	1	13.394441919963247	Sedoreoviridae	Rotavirus A (strain RVA/Human/United States/P/1974/G3P1A[8]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
B3SRX3	False	False	False	False	False	0	14.684911357000587	Sedoreoviridae	Rotavirus A (strain RVA/Human/United Kingdom/ST3/1975/G4P2A[6]) (RV-A) (Rotavirus A (strain St. Thomas 3))	Non-structural protein 5 (NSP5) (NS26)
NP_536580.1	False	False	False	False	False	0	14.880322768171974			
P14379	False	True	False	False	False	1	12.644863376353559	Orthoherpesviridae	Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2)	E3 ubiquitin ligase ICP22 (Immediate-early protein IE68) (Infected cell protein 22) (ICP22)
P18036	False	False	False	False	False	0	14.27521377906109	Sedoreoviridae	Rotavirus A (strain RVA/Human/Indonesia/B37/XXXX/G8P[X]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
Q3ZK65	False	False	False	False	False	0	14.37403595990926	Sedoreoviridae	Rotavirus A (isolate RVA/Human/Belgium/B4106/2000/G3P11[14]) (RV-A) (Rotavirus A (isolate B4106))	Non-structural protein 5 (NSP5) (NS26)
Q8V9C3	False	True	False	False	False	1	13.34729985486533	Sedoreoviridae	Rotavirus A (strain RVA/Human/Japan/AU-1/1982/G3P3[9]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
B3SRR7	False	True	False	False	False	1	13.391229992592153	Sedoreoviridae	Rotavirus A (isolate RVA/Human/United Kingdom/A64/1987/G10P11[14]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
P23048	False	True	False	False	False	1	13.111614375570179	Sedoreoviridae	Rotavirus A (strain RVA/Human/United States/DS-1/1976/G2P1B[4]) (RV-A) (Rotavirus A (strain DS1))	Non-structural protein 5 (NSP5) (NS26)
Q8V9C4	False	False	False	False	False	0	14.08696839381393	Sedoreoviridae	Rotavirus A (strain RVA/Human/Japan/K8/1977/G1P3A[9]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
P23047	False	True	False	False	False	1	13.738279079098561	Sedoreoviridae	Rotavirus A (strain RVA/Human/Indonesia/69M/1980/G8P4[10]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
NP_828866.1	False	False	False	True	False	1	13.23084615845391			
P68951	True	True	True	True	False	4	8.406701750564531	Adenoviridae	Human adenovirus C serotype 5 (HAdV-5) (Human adenovirus 5)	Pre-histone-like nucleoprotein (Pre-core protein VII) (pVII) [Cleaved into: pVIIn2; Histone-like nucleoprotein (NP) (Core protein VII)]
Q80IQ5	False	True	False	False	False	1	13.758701528844336	Sedoreoviridae	Rotavirus A (strain RVA/Human/Japan/KUN/1980/G2P1B[4]) (RV-A)	Non-structural protein 5 (NSP5) (NS26)
P10188	False	False	False	False	False	0	16.152950931450878	Orthoherpesviridae	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	Nuclear protein UL4
P06165	False	True	False	False	False	1	14.070014556886914	Paramyxoviridae	Human parainfluenza 3 virus (strain Wash/47885/57) (HPIV-3) (Human parainfluenza 3 virus (strain NIH 47885))	Protein C (VP18 protein)
P09713	False	False	False	False	False	0	18.133193579158018	Orthoherpesviridae	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	Unique short US2 glycoprotein (Protein HQLF2) (gpUS2)
F5HE05	False	False	False	False	False	0	18.371500984053178	Orthoherpesviridae	Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5)	Unique short US2 glycoprotein (Protein HQLF2) (gpUS2)
P09295	False	False	False	False	False	0	15.035954132110598	Orthoherpesviridae	Varicella-zoster virus (strain Dumas) (HHV-3) (Human herpesvirus 3)	Tegument protein UL14 homolog
P18037	False	True	False	False	False	1	13.02765230100896	Sedoreoviridae	Rotavirus A (strain RVA/Human/Australia/RV-5/1981/G2P1B[4]) (RV-A) (Rotavirus A (strain RV5))	Non-structural protein 5 (NSP5) (NS26)
Q9PX32	False	True	False	True	False	2	12.434951650384773	Orthoherpesviridae	Human herpesvirus 6B (strain Z29) (HHV-6 variant B) (Human B lymphotropic virus)	Uncharacterized protein DR3
Q9QBZ3	True	False	True	False	True	3	9.135510353346799	Retroviridae	Human immunodeficiency virus type 1 group M subtype F2 (isolate MP255) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
Q9QBY9	True	False	True	False	True	3	9.214210456072113	Retroviridae	Human immunodeficiency virus type 1 group M subtype F2 (isolate MP257) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
P07885	False	False	True	True	True	3	9.576288944850287	Adenoviridae	Human adenovirus E serotype 4 (HAdV-4) (Human adenovirus 4)	Protease (EC 3.4.22.39) (Adenain) (Adenovirus protease) (AVP) (Adenovirus proteinase) (Endoprotease)
P16798	False	False	False	False	False	0	16.874938477836917	Orthoherpesviridae	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	Protein UL92
P28280	False	False	False	False	False	0	16.383194371062867	Orthoherpesviridae	Human herpesvirus 2 (strain HG52) (HHV-2) (Human herpes simplex virus 2)	Nuclear protein UL4
P16740	False	False	False	False	False	0	15.593105579292606	Orthoherpesviridae	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	Uncharacterized protein UL120
Q6SW31	False	False	False	False	False	0	17.790657298372643	Orthoherpesviridae	Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5)	Membrane protein UL120
P16287	False	False	False	False	False	0	18.272047397913457	Rhabdoviridae	Rabies virus (strain SAD B19) (RABV)	Matrix protein (Phosphoprotein M2)
P25224	False	False	False	False	False	0	17.707051917619122	Rhabdoviridae	Rabies virus (strain Nishigahara RCEH) (RABV)	Matrix protein (Phosphoprotein M2)
P25223	False	False	False	False	False	0	18.40822930181428	Rhabdoviridae	Rabies virus (strain CVS-11) (RABV)	Matrix protein (Phosphoprotein M2)
Q0GBY2	False	False	False	False	False	0	18.123551990932533	Rhabdoviridae	Rabies virus (strain China/MRV) (RABV)	Matrix protein (Phosphoprotein M2)
Q8B6J7	False	False	False	False	False	0	18.763298436400504	Rhabdoviridae	Rabies virus (strain HEP-Flury) (RABV)	Matrix protein (Phosphoprotein M2)
P03499	False	False	False	False	True	1	14.347311838154415	Orthomyxoviridae	Influenza A virus (strain A/Fort Monmouth/1/1947 H1N1)	Non-structural protein 1 (NS1) (NS1A)
P15200	False	False	False	False	False	0	18.167573163566807	Rhabdoviridae	Rabies virus (strain PM1503/AVO1) (RABV)	Matrix protein (Phosphoprotein M2)
A3RM21	False	False	False	False	False	0	18.026749299533982	Rhabdoviridae	Rabies virus (strain India) (RABV)	Matrix protein (Phosphoprotein M2)
P08671	False	False	False	False	False	0	18.03799416997331	Rhabdoviridae	Rabies virus (strain Pasteur vaccins / PV) (RABV)	Matrix protein (Phosphoprotein M2)
P0DOF2	False	False	False	False	False	0	18.175703783158802	Rhabdoviridae	Rabies virus (strain ERA) (RABV)	Matrix protein (Phosphoprotein M2)
Q0GBX7	False	False	False	False	False	0	17.196910644799125	Rhabdoviridae	Rabies virus (strain China/DRV) (RABV)	Matrix protein (Phosphoprotein M2)
Q66T63	False	False	False	False	False	0	18.262852551366603	Rhabdoviridae	Rabies virus (strain silver-haired bat-associated) (RABV) (SHBRV)	Matrix protein (Phosphoprotein M2)
Q6JAM6	False	False	False	False	False	0	18.464263206562254	Rhabdoviridae	Lagos bat virus (LBV)	Matrix protein
Q69557	False	False	False	False	False	0	17.24519475938199	Orthoherpesviridae	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human B lymphotropic virus)	Glycoprotein U22
Q8JTH1	False	False	False	False	False	0	18.004112791737974	Rhabdoviridae	Australian bat lyssavirus (isolate Human/AUS/1998) (ABLV)	Matrix protein (Phosphoprotein M2)
NP_050202.1	False	False	False	False	False	0	17.18660464812031			
Q9QPN3	False	False	True	False	True	2	9.924848542102671	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate Lai) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
P0DOR5	False	False	False	False	False	0	14.29114578537336	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Virion membrane protein OPG144 precursor (23 kDa late protein) [Cleaved into: Mature 21 kDa protein OPG144]
Q6XTK0	False	False	False	False	True	1	14.943282674893737	Orthomyxoviridae	Influenza A virus (strain A/Singapore/1/1957 H2N2)	Non-structural protein 1 (NS1) (NS1A)
P20538	False	True	False	True	False	2	11.644495304244941	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Late transcription elongation factor OPG110 (Viral late gene transcription factor 4) (VLTF-4)
Q9WC61	False	False	True	False	True	2	10.336561986660456	Retroviridae	Human immunodeficiency virus type 1 group M subtype J (isolate SE9280) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
P52474	False	False	False	False	False	0	15.756692325435248	Orthoherpesviridae	Human herpesvirus 7 (strain JI) (HHV-7) (Human T lymphotropic virus)	Tegument protein UL51 homolog
P03252	False	True	True	True	True	4	7.820953395016508	Adenoviridae	Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)	Protease (EC 3.4.22.39) (Adenain) (Adenovirus protease) (AVP) (Adenovirus proteinase) (Endoprotease)
A0A7H0DNB6	False	True	False	False	False	1	13.065377261312445	Poxviridae	Monkeypox virus (MPXV)	Virion membrane protein OPG144 precursor [Cleaved into: Mature 21 kDa protein OPG144]
P03253	False	True	True	True	True	4	7.737573941611259	Adenoviridae	Human adenovirus C serotype 5 (HAdV-5) (Human adenovirus 5)	Protease (EC 3.4.22.39) (Adenain) (Adenovirus protease) (AVP) (Adenovirus proteinase) (Endoprotease)
Q80DS7	True	True	True	True	True	5	3.8741272771203823	Poxviridae	Cowpox virus (strain GRI-90 / Grishak) (CPV)	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)
A0A7H0DNE5	True	True	True	True	True	5	3.91610973062271	Poxviridae	Monkeypox virus (MPXV)	Thymidylate kinase (EC 2.7.4.9)
P68693	True	True	True	True	True	5	4.1822151437879125	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)
Q8QMQ7	True	True	True	True	True	5	4.178727489650557	Poxviridae	Cowpox virus (strain Brighton Red) (CPV)	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)
P32533	False	False	False	False	False	0	15.259088498280406	Paramyxoviridae	Human parainfluenza 1 virus (strain C35) (HPIV-1)	Protein C
P28055	False	False	False	False	False	0	16.04433218268675	Paramyxoviridae	Human parainfluenza 1 virus (strain C39) (HPIV-1)	Protein C
P32534	False	False	False	False	False	0	15.9720385388104	Paramyxoviridae	Human parainfluenza 1 virus (strain CI-5/73) (HPIV-1)	Protein C
P32535	False	False	False	False	False	0	15.69165191785467	Paramyxoviridae	Human parainfluenza 1 virus (strain CI-14/83) (HPIV-1)	Protein C
P21039	False	True	False	True	False	2	10.030837539780565	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein OPG030
NP_536555.1	False	False	False	False	False	0	13.786769153723501			
NP_536586.1	True	True	True	True	True	5	4.1442495574293226			
Q9WC70	False	False	True	False	True	2	10.795750510895152	Retroviridae	Human immunodeficiency virus type 1 group M subtype J (isolate SE9173) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
Q89842	False	False	True	False	True	2	11.157525326997588	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (strain 89.6) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
Q2HRC7	False	False	False	False	False	0	12.254314486645994	Orthoherpesviridae	Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	Viral interleukin-6 homolog (vIL-6)
P08490	False	True	False	True	True	3	8.442010684279783	Picornaviridae	Echo 9 virus (EV-9) (Coxsackievirus A23)	Genome polyprotein [Cleaved into: Viral protein genome-linked (VPg) (Protein 3B) (P3B); Protease 3C (EC 3.4.22.28) (Picornain 3C) (P3C)]
P0DSV5	True	True	True	True	True	5	4.241110154135201	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)
P11825	True	True	True	True	True	5	6.902276946715391	Adenoviridae	Human adenovirus F serotype 40 (HAdV-40) (Human adenovirus 40)	Protease (EC 3.4.22.39) (Adenain) (Adenovirus protease) (AVP) (Adenovirus proteinase) (Endoprotease)
P0DOW8	False	False	False	False	False	0	15.018487166742798	Papillomaviridae	Human papillomavirus 42	Protein E8^E2C
Q0ZME2	False	False	False	False	False	0	16.6427839480266	Coronaviridae	Human coronavirus HKU1 (isolate N5) (HCoV-HKU1)	Protein I (Accessory protein N2) (N internal ORF protein) (IORF) (Orf8 protein) (Protein in nucleocapsid ORF)
Q5MQC5	False	False	False	False	False	0	16.34057515306846	Coronaviridae	Human coronavirus HKU1 (isolate N1) (HCoV-HKU1)	Protein I (Accessory protein N2) (N internal ORF protein) (IORF) (Orf8 protein) (Protein in nucleocapsid ORF)
P0C5B5	False	False	False	False	False	0	16.812409869053955	Coronaviridae	Human coronavirus HKU1 (isolate N2) (HCoV-HKU1)	Protein I (Accessory protein N2) (N internal ORF protein) (IORF) (Orf8 protein) (Protein in nucleocapsid ORF)
P52473	False	False	False	False	False	0	15.714797682857057	Orthoherpesviridae	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human B lymphotropic virus)	Tegument protein UL51 homolog
NP_597783.2	False	False	True	True	False	2	11.087889822925977			
P05859	False	False	True	False	True	2	10.704127586741482	Retroviridae	Human immunodeficiency virus type 1 group M subtype A (isolate Z321) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
P05855	True	False	True	False	True	3	9.214163766088973	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate BH8) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
P24741	True	False	True	False	True	3	9.81080786891998	Retroviridae	Human immunodeficiency virus type 1 group M subtype A (isolate U455) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
Q9QSQ6	False	False	True	False	True	2	10.719156834422385	Retroviridae	Human immunodeficiency virus type 1 group M subtype F1 (isolate VI850) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
P19545	True	False	True	False	True	3	9.61794367087408	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate SF33) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
Q9QJ51	False	True	False	False	False	1	11.870668721993002	Orthoherpesviridae	Human herpesvirus 6B (strain Z29) (HHV-6 variant B) (Human B lymphotropic virus)	G-protein coupled receptor
P09569	True	True	True	True	True	5	7.273100305713586	Adenoviridae	Human adenovirus A serotype 12 (HAdV-12) (Human adenovirus 12)	Protease (EC 3.4.22.39) (Adenain) (Adenovirus protease) (AVP) (Adenovirus proteinase) (Endoprotease)
P68451	False	False	False	False	False	0	15.779894086067932	Poxviridae	Vaccinia virus (strain L-IVP) (VACV)	Apoptosis regulator OPG045 (Protein F1)
A0A7H0DN04	True	True	False	True	True	4	8.247056775693919	Poxviridae	Monkeypox virus (MPXV)	Protein OPG030
NP_536442.1	False	True	False	True	True	3	8.899938860673892			
O70903	True	False	True	False	True	3	9.991579263274712	Retroviridae	Human immunodeficiency virus type 1 group M subtype H (isolate 90CF056) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
P04601	True	False	True	False	True	3	9.667829315802296	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]
