accession	label	split
P87670	viral	train
P89433	viral	test
P89467	viral	test
Q01478	viral	test
Q01640	viral	train
Q02269	viral	train
Q03039	viral	train
Q05499	viral	train
Q07156	viral	test
Q07531	viral	train
Q07548	viral	train
Q07552	viral	train
Q07849	viral	test
Q07856	viral	train
Q07875	viral	train
Q07FI1	viral	train
Q08033	viral	train
Q08089	viral	test
Q08779	viral	test
Q09159	viral	train
Q0A2H2	viral	train
Q0A2Q4	viral	train
Q0A2Q6	viral	val
Q0GBX6	viral	test
Q0GBY1	viral	test
Q0GP30	viral	train
Q0H8C2	viral	train
Q0HD54	viral	train
Q0PDM0	viral	train
Q0ZME3	viral	test
Q0ZME4	viral	val
Q1HVB3	viral	val
Q1K9P7	viral	train
Q1PDC6	viral	test
Q289L7	viral	train
Q2RCH0	viral	train
Q2RF96	viral	train
Q2VC89	viral	val
Q2VNC7	viral	train
Q3YPY6	viral	test
Q3YPZ1	viral	train
Q3ZK62	viral	val
Q45UF7	viral	val
Q4JQW4	viral	train
Q4KRW7	viral	train
Q5SC51	viral	train
Q5SC57	viral	test
Q67171	viral	val
Q67185	viral	val
Q67356	viral	train
Q68673	viral	train
Q69022	viral	test
Q69556	viral	test
Q6DNV6	viral	train
Q6DNW3	viral	train
Q6DPD2	viral	train
Q6J844	viral	train
Q6J859	viral	train
Q6J8C0	viral	train
Q6SW46	viral	train
Q6SW85	viral	train
Q6WB99	viral	train
Q6XSW4	viral	train
Q6XTK7	viral	train
Q6XU90	viral	train
Q705D2	viral	test
Q76639	viral	train
Q775J3	viral	test
Q77GW1	viral	val
Q80901	viral	train
Q80914	viral	train
Q80923	viral	train
Q80928	viral	test
Q80935	viral	train
Q80942	viral	test
Q80948	viral	test
Q80953	viral	val
Q80956	viral	train
Q809P9	viral	train
Q80A02	viral	val
Q80E12	viral	train
Q80H93	viral	train
Q80IQ5	viral	train
Q81023	viral	val
Q82055	viral	val
Q84056	viral	val
Q84292	viral	test
Q85365	viral	train
Q86305	viral	train
Q86306	viral	train
Q89187	viral	train
Q89562	viral	val
Q8JMY3	viral	train
Q8JXF6	viral	test
Q8QMP8	viral	test
Q8QPI1	viral	val
Q8QV69	viral	train
Q8UZK5	viral	train
Q8V4S4	viral	test
Q91C28	viral	test
Q91DE1	viral	test
Q91HJ9	viral	train
Q96896	viral	train
Q98199	viral	train
Q98234	viral	val
Q9DHT0	viral	train
Q9E6S8	viral	train
Q9JFE5	viral	test
Q9Q0L8	viral	val
Q9QAX0	viral	train
Q9QB93	viral	train
Q9QJ11	viral	train
Q9QNA8	viral	val
Q9QR69	viral	train
Q9QSP1	viral	test
Q9QSP4	viral	test
Q9WC56	viral	train
Q9WFZ0	viral	test
Q9WMB4	viral	test
Q9YX78	viral	train
Q9YZR6	viral	train
A0A7H0DMZ8	viral	train
A0A7H0DMZ9	viral	train
A0A7H0DN29	viral	train
A0A7H0DN51	viral	train
A0A7H0DN68	viral	train
A0A7H0DN72	viral	test
A0A7H0DN76	viral	train
A0A7H0DN79	viral	train
A0A7H0DN84	viral	train
A0A7H0DN93	viral	train
A0A7H0DN97	viral	test
A0A7H0DNA5	viral	train
A0A7H0DNB8	viral	val
A0A7H0DNC1	viral	test
A0A7H0DND5	viral	train
A0A7H0DNE1	viral	train
A0A7H0DNG0	viral	val
A1YTU9	viral	train
A4GCK6	viral	train
A4ZCW4	viral	train
A5HBD7	viral	test
A7J391	viral	val
A8C8J9	viral	train
A8C8K3	viral	train
B1NKT0	viral	val
B1NKU2	viral	val
B3EUR1	viral	train
F5H9T4	viral	train
F5HB39	viral	train
F5HBX1	viral	train
F5HFA1	viral	val
F5HIN9	viral	val
M1L502	viral	train
M1L511	viral	train
M1L535	viral	train
M1L543	viral	train
M1L9Q3	viral	train
M1LL92	viral	train
O11459	viral	train
O57178	viral	train
O57205	viral	train
O57210	viral	train
O57216	viral	train
O57220	viral	train
O89285	viral	train
P03218	viral	train
P03284	viral	train
P03489	viral	test
P03505	viral	train
P06482	viral	test
P06816	viral	test
P06917	viral	test
P06923	viral	test
P06924	viral	train
P06944	viral	val
P09266	viral	train
P09293	viral	train
P09301	viral	train
P09701	viral	train
P09717	viral	test
P09721	viral	val
P0C134	viral	val
P0C137	viral	train
P0C138	viral	val
P0C140	viral	val
P0C142	viral	train
P0C2M2	viral	train
P0C2X6	viral	train
P0C5U1	viral	train
P0C5U3	viral	train
P0CK27	viral	val
P0DJX2	viral	train
P0DKA7	viral	val
P0DKB0	viral	val
P0DOG3	viral	train
P0DOL2	viral	train
P0DON6	viral	val
P0DON8	viral	train
P0DOP1	viral	train
P0DOP4	viral	train
P0DOP7	viral	train
P0DOQ9	viral	val
P0DOS9	viral	train
P0DOU7	viral	train
P0DSR4	viral	val
P0DSR9	viral	val
P0DST6	viral	train
P0DSV9	viral	val
P0DSW8	viral	train
P0DSX0	viral	train
P0DSX7	viral	train
P0DSY3	viral	train
P0DSY8	viral	test
P0DTB3	viral	test
P0DTN3	viral	test
P0DXM0	viral	test
P0DXN2	viral	train
P10229	viral	test
P10239	viral	train
P10544	viral	val
P11208	viral	train
P11212	viral	val
P12455	viral	test
P13147	viral	train
P14347	viral	train
P15000	viral	val
P15135	viral	train
P16192	viral	test
P16208	viral	test
P16719	viral	train
P16720	viral	val
P16741	viral	train
P16742	viral	train
P16745	viral	train
P16752	viral	train
P16755	viral	val
P16763	viral	train
P16776	viral	train
P16780	viral	train
P16799	viral	train
P16801	viral	train
P17586	viral	train
P18039	viral	test
P18048	viral	val
P20537	viral	train
P20635	viral	train
P20642	viral	train
P20643	viral	train
P20981	viral	train
P20986	viral	train
P20991	viral	train
P20992	viral	train
P20994	viral	val
P20995	viral	train
P20997	viral	test
P20998	viral	val
P21008	viral	train
P21038	viral	train
P21064	viral	train
P21080	viral	train
P21106	viral	val
P21527	viral	train
P21739	viral	train
P24442	viral	test
P25483	viral	train
P26550	viral	train
P26579	viral	train
P28083	viral	test
P28277	viral	test
P29889	viral	train
P30003	viral	test
P30915	viral	train
P32531	viral	train
P32533	viral	train
P32999	viral	train
P33059	viral	val
P33816	viral	test
P33831	viral	train
P33862	viral	train
P34016	viral	train
P36716	viral	test
P36740	viral	test
P36742	viral	test
P50787	viral	test
P50812	viral	test
P50814	viral	test
P50817	viral	test
P52341	viral	val
P52349	viral	train
P52356	viral	val
P52359	viral	train
P52375	viral	train
P52378	viral	train
P52379	viral	train
P52385	viral	val
P52451	viral	train
P52454	viral	val
P52455	viral	train
P52458	viral	train
P52462	viral	train
P52465	viral	train
P52468	viral	val
P52533	viral	train
P52535	viral	train
P52536	viral	train
P52546	viral	train
P54636	viral	train
P60166	viral	test
P60672	viral	train
P67909	viral	test
P68441	viral	test
P68450	viral	train
P68463	viral	val
P68467	viral	train
P68492	viral	train
P68608	viral	test
P68618	viral	train
P68711	viral	test
P68715	viral	train
P69481	viral	val
P88812	viral	train
P89438	viral	train
P89461	viral	train
P89463	viral	val
P90463	viral	test
Q00683	viral	val
Q01348	viral	train
Q02273	viral	test
Q02480	viral	test
Q04966	viral	train
Q06095	viral	train
Q07853	viral	train
Q07873	viral	train
Q07FH6	viral	train
Q0GNQ5	viral	train
Q1HVG4	viral	train
Q1PD52	viral	train
Q1PDC9	viral	train
Q1XBW5	viral	train
Q288Y7	viral	test
Q288Z1	viral	train
Q2HR78	viral	val
Q2HR83	viral	train
Q3KSS7	viral	train
Q3KST0	viral	train
Q3YPZ0	viral	train
Q3ZK56	viral	val
Q45UF0	viral	test
Q45UF5	viral	train
Q463W6	viral	test
Q4JQS7	viral	train
Q4JQX3	viral	train
Q5MQC8	viral	test
Q672H9	viral	test
Q69138	viral	test
Q69560	viral	train
Q6DP36	viral	train
Q6SW48	viral	train
Q6SWA3	viral	test
Q6SWN9	viral	train
Q77TG9	viral	train
Q80DT0	viral	train
Q80E01	viral	val
Q81022	viral	test
Q89584	viral	val
Q89865	viral	train
Q8B6J9	viral	test
Q8BDV6	viral	test
Q8QMS5	viral	train
Q8QMT5	viral	train
Q8QMY0	viral	train
Q8V4T3	viral	train
Q98224	viral	train
Q98229	viral	test
Q98329	viral	train
Q9DHQ8	viral	test
Q9DHR2	viral	train
Q9ICB2	viral	train
Q9QJ32	viral	train
Q9QJ34	viral	test
Q9WSV7	viral	train
A0A7H0DN01	viral	val
A0A7H0DN21	viral	val
A0A7H0DN41	viral	val
A0A7H0DN43	viral	test
A0A7H0DN81	viral	val
A0A7H0DNC6	viral	train
A0A7H0DNC7	viral	train
A0A7H0DND2	viral	val
A0A7H0DNF9	viral	val
A0A7H0DNH0	viral	val
A3DSK6	viral	val
A3DSK9	viral	train
A4U7B5	viral	train
A7XCE4	viral	train
A9Q1L2	viral	test
B1NKR8	viral	val
B1NKT8	viral	val
B3SRV3	viral	train
F5H8R0	viral	train
F5HAD1	viral	train
F5HBR4	viral	train
F5HC16	viral	train
F5HCU8	viral	val
F5HE44	viral	val
F5HFA5	viral	val
F5HFB4	viral	train
F5HGI9	viral	test
F5HGU6	viral	val
F5HIG1	viral	test
M1KJ15	viral	train
M1LBQ5	viral	train
P03184	viral	train
P03233	viral	train
P03248	viral	test
P03511	viral	test
P03514	viral	train
P04016	viral	val
P04489	viral	train
P06483	viral	test
P06486	viral	val
P06490	viral	test
P06938	viral	test
P06942	viral	test
P07873	viral	train
P08275	viral	train
P09282	viral	test
P09283	viral	test
P09288	viral	train
P09292	viral	val
P09300	viral	val
P09303	viral	val
P09307	viral	test
P09718	viral	val
P0C012	viral	train
P0C141	viral	val
P0C1C6	viral	train
P0C2X1	viral	train
P0C2X2	viral	train
P0C2X4	viral	train
P0C5V9	viral	train
P0C6Z9	viral	val
P0C773	viral	train
P0CK17	viral	train
P0DKA2	viral	val
P0DKA6	viral	train
P0DKA8	viral	train
P0DKA9	viral	test
P0DOD2	viral	train
P0DOD4	viral	train
P0DOD5	viral	train
P0DOG5	viral	test
P0DOG7	viral	test
P0DOL8	viral	val
P0DOL9	viral	val
P0DOR2	viral	val
P0DOS2	viral	train
P0DOT4	viral	test
P0DOU9	viral	test
P0DOW8	viral	train
P0DSQ3	viral	train
P0DSQ5	viral	train
P0DSR2	viral	train
P0DSS2	viral	train
P0DSS5	viral	train
P0DSU1	viral	train
P0DSV3	viral	train
P0DSW4	viral	val
P0DSW6	viral	train
P0DSZ1	viral	train
P0DTB4	viral	train
P0DTN1	viral	test
P0DTO2	viral	test
P0DTO4	viral	val
P0DTO7	viral	test
P0DTP4	viral	train
P0DTP6	viral	train
P10406	viral	val
P11322	viral	val
P11619	viral	train
P12888	viral	val
P12932	viral	train
P13844	viral	test
P15134	viral	train
P15190	viral	train
P15836	viral	train
P16726	viral	test
P16740	viral	test
P16758	viral	val
P17590	viral	test
P18570	viral	train
P20501	viral	val
P20531	viral	test
P20870	viral	test
P20982	viral	train
P21004	viral	val
P21007	viral	train
P21031	viral	train
P21049	viral	test
P21054	viral	test
P21092	viral	val
P21098	viral	train
P21740	viral	train
P22026	viral	train
P22044	viral	val
P22109	viral	train
P24443	viral	train
P24447	viral	val
P25392	viral	train
P26034	viral	test
P26145	viral	train
P26536	viral	test
P26548	viral	train
P26549	viral	test
P27225	viral	train
P27317	viral	train
P27908	viral	test
P29839	viral	train
P29887	viral	train
P30024	viral	train
P30817	viral	train
P30889	viral	train
P32530	viral	train
P32532	viral	train
P33055	viral	train
P33812	viral	train
P33825	viral	train
P33842	viral	val
P36710	viral	test
P36717	viral	val
P36737	viral	test
P36743	viral	test
P48312	viral	train
P50792	viral	test
P50793	viral	test
P50820	viral	test
P50823	viral	test
P52344	viral	train
P52355	viral	train
P52383	viral	train
P52388	viral	train
P52439	viral	train
P52446	viral	train
P52448	viral	val
P52460	viral	train
P52461	viral	train
P52531	viral	val
P52532	viral	train
P54669	viral	test
P60671	viral	train
P68321	viral	train
P68439	viral	val
P68598	viral	train
P68604	viral	val
P68614	viral	train
P68971	viral	train
P68982	viral	train
P69187	viral	test
P87604	viral	train
P89083	viral	val
P89431	viral	test
P89437	viral	train
P89441	viral	train
P89447	viral	test
P89451	viral	train
P89456	viral	test
P89468	viral	train
Q02050	viral	test
Q02263	viral	train
Q02265	viral	test
Q02514	viral	test
Q04854	viral	test
Q05113	viral	test
Q06092	viral	train
Q07861	viral	train
Q0A2G7	viral	test
Q0A2Q9	viral	train
Q0GBX9	viral	test
Q0H8C4	viral	train
Q0ZME5	viral	test
Q1PDC5	viral	train
Q2HR63	viral	train
Q2HRB3	viral	train
Q2HRD2	viral	train
Q2RF97	viral	test
Q30NP2	viral	test
Q38SP9	viral	test
Q3KSP5	viral	train
Q3KSQ7	viral	train
Q3KSR9	viral	train
Q3ZK63	viral	train
Q45UF2	viral	train
Q4JQT7	viral	test
Q4JQU0	viral	train
Q4VID0	viral	train
Q5K037	viral	train
Q5K2K7	viral	val
Q5Y9A9	viral	train
Q64865	viral	test
Q66T65	viral	test
Q6JAM6	viral	train
Q6UY64	viral	train
Q6XSV5	viral	train
Q6XSW5	viral	train
Q71UK7	viral	test
Q74122	viral	train
Q74125	viral	test
Q76631	viral	train
Q76637	viral	test
Q76ZV3	viral	val
Q77TL4	viral	train
Q7M6R1	viral	val
Q80961	viral	test
Q80DV6	viral	train
Q82049	viral	train
Q82051	viral	train
Q82053	viral	train
Q84295	viral	val
Q86132	viral	train
Q86194	viral	val
Q89489	viral	val
Q89738	viral	train
Q8V518	viral	train
Q8V7J0	viral	train
Q914N0	viral	train
Q91M93	viral	train
Q9E2H5	viral	val
Q9ENX6	viral	val
Q9IVZ7	viral	val
Q9J4L4	viral	train
Q9JFF2	viral	train
Q9QJ17	viral	train
Q9QJ35	viral	train
Q9QJ42	viral	test
Q9QJ49	viral	train
Q9QUB8	viral	train
A0A7H0DN03	viral	train
A0A7H0DN05	viral	train
A0A7H0DN15	viral	train
A0A7H0DN19	viral	test
A0A7H0DN63	viral	val
A0A7H0DN69	viral	train
A0A7H0DN89	viral	val
A0A7H0DN92	viral	train
A0A7H0DN94	viral	val
A0A7H0DN96	viral	train
A0A7H0DN99	viral	val
A0A7H0DNA6	viral	train
A0A7H0DNA7	viral	train
A0A7H0DNB3	viral	val
A0A7H0DNB4	viral	train
A0A7H0DNC4	viral	val
A0A7H0DNE0	viral	train
A0A7H0DNE4	viral	train
A0A7H0DNF8	viral	train
A0A7H0DNG4	viral	test
A3DRP9	viral	train
A4GBY2	viral	train
A4GCK2	viral	train
A4K148	viral	train
A4ZCW5	viral	val
A8C8W8	viral	train
B1NKQ6	viral	val
B1NKR4	viral	val
B9VXQ2	viral	train
C1IWT1	viral	train
C5IY45	viral	train
F5H8Q3	viral	train
F5H8R6	viral	train
F5H9N4	viral	test
F5H9W4	viral	test
F5HAZ3	viral	train
F5HCJ2	viral	train
F5HEF2	viral	val
F5HEN7	viral	val
F5HEU7	viral	train
F5HF90	viral	train
F5HGB6	viral	test
F5HHS3	viral	train
F5HI32	viral	train
F5HID2	viral	test
I4EPA3	viral	test
M1KJ27	viral	train
M1LL58	viral	train
O09802	viral	train
O39920	viral	test
O55655	viral	train
O55779	viral	val
O57198	viral	train
O57215	viral	train
O57224	viral	train
O57229	viral	test
O70739	viral	train
O72756	viral	train
O89747	viral	train
P03207	viral	train
P03424	viral	train
P04493	viral	val
P06416	viral	test
P06425	viral	test
P06794	viral	test
P09254	viral	train
P09274	viral	train
P09280	viral	val
P09287	viral	test
P09294	viral	train
P09295	viral	test
P09716	viral	train
P09722	viral	train
P0C135	viral	train
P0C1P6	viral	test
P0C747	viral	test
P0C771	viral	train
P0CK56	viral	train
P0DJX7	viral	train
P0DOD3	viral	train
P0DOI8	viral	test
P0DOK9	viral	train
P0DOM5	viral	train
P0DOO8	viral	train
P0DOQ7	viral	train
P0DOT9	viral	test
P0DOU3	viral	val
P0DSP9	viral	train
P0DSX2	viral	val
P0DSX4	viral	train
P0DSY0	viral	train
P0DTA2	viral	train
P0DTN4	viral	test
P10191	viral	val
P10543	viral	val
P11231	viral	val
P11321	viral	train
P11468	viral	val
P12603	viral	test
P14348	viral	val
P14355	viral	train
P15138	viral	val
P15837	viral	test
P16206	viral	test
P16629	viral	val
P16724	viral	train
P16730	viral	train
P16734	viral	train
P16756	viral	train
P16770	viral	val
P16783	viral	val
P16809	viral	train
P16883	viral	val
P17146	viral	train
P18046	viral	test
P20498	viral	train
P20538	viral	train
P20640	viral	train
P21016	viral	test
P21022	viral	train
P21028	viral	train
P21032	viral	test
P21040	viral	train
P21042	viral	val
P21057	viral	val
P21073	viral	train
P21083	viral	train
P21093	viral	train
P21738	viral	val
P22111	viral	train
P22113	viral	train
P24111	viral	test
P24266	viral	train
P24838	viral	test
P25214	viral	train
P25486	viral	train
P26654	viral	train
P27153	viral	test
P27553	viral	test
P27964	viral	test
P28054	viral	train
P28082	viral	test
P30216	viral	train
P33004	viral	test
P33854	viral	train
P34010	viral	train
P34012	viral	train
P34018	viral	test
P35767	viral	train
P35976	viral	test
P35977	viral	train
P36296	viral	train
P36705	viral	test
P36707	viral	val
P36736	viral	train
P36741	viral	test
P36779	viral	train
P36847	viral	train
P36848	viral	train
P36850	viral	train
P48753	viral	val
P50639	viral	val
P50786	viral	test
P50788	viral	test
P50790	viral	test
P50791	viral	test
P50813	viral	test
P50822	viral	test
P50824	viral	train
P50826	viral	test
P52345	viral	val
P52346	viral	val
P52357	viral	val
P52361	viral	val
P52386	viral	val
P52450	viral	val
P52452	viral	train
P52453	viral	val
P52466	viral	train
P52542	viral	train
P52545	viral	train
P52586	viral	train
P52587	viral	train
P68453	viral	train
P68454	viral	val
P68612	viral	train
P68695	viral	train
P68719	viral	train
P69267	viral	train
P69337	viral	train
P69465	viral	train
P69899	viral	test
P89430	viral	val
P89439	viral	train
P89440	viral	val
P89448	viral	val
P89469	viral	test
Q00682	viral	train
Q03307	viral	train
Q04542	viral	train
Q05138	viral	test
Q07032	viral	train
Q07852	viral	train
Q07860	viral	test
Q09110	viral	test
Q0A2Q5	viral	train
Q0H8C3	viral	train
Q0ZME2	viral	train
Q1HVF2	viral	train
Q1HVH3	viral	train
Q1HVI8	viral	train
Q1PUD0	viral	test
Q20P38	viral	train
Q2HR92	viral	test
Q2MG95	viral	test
Q3KSR3	viral	train
Q3KST2	viral	test
Q45UF9	viral	val
Q50LE4	viral	val
Q5MQC5	viral	train
Q66262	viral	train
Q69551	viral	train
Q69553	viral	val
Q69557	viral	train
Q69561	viral	test
Q6DP29	viral	train
Q6F6K2	viral	train
Q6Q1S0	viral	train
Q6SW50	viral	train
Q6SW55	viral	train
Q6SW65	viral	test
Q6SW79	viral	test
Q6SW89	viral	test
Q6SW92	viral	train
Q6SWB8	viral	val
Q6SWC0	viral	train
Q6SWC8	viral	val
Q6SWC9	viral	val
Q6SWN0	viral	train
Q6TUZ4	viral	train
Q6XTC3	viral	train
Q76636	viral	train
Q76RB8	viral	train
Q77Q36	viral	val
Q77TL3	viral	train
Q7TLC7	viral	train
Q82050	viral	train
Q82052	viral	train
Q84173	viral	train
Q85339	viral	train
Q89186	viral	train
Q89733	viral	train
Q8JPQ9	viral	train
Q8QMQ2	viral	train
Q8V336	viral	train
Q91UM2	viral	train
Q9DHJ5	viral	train
Q9ENX7	viral	train
Q9J3N4	viral	train
Q9JFA9	viral	train
Q9PY94	viral	val
Q9Q0L7	viral	train
Q9QJ19	viral	test
Q9QJ27	viral	train
Q9QJ46	viral	train
Q9QNB2	viral	val
A0A7H0DN09	viral	train
A0A7H0DN17	viral	train
A0A7H0DN35	viral	val
A0A7H0DN37	viral	train
A0A7H0DN48	viral	val
A0A7H0DN61	viral	train
A0A7H0DN91	viral	train
A0A7H0DNA4	viral	train
A0A7H0DNA8	viral	train
A0A7H0DNB9	viral	test
A0A7H0DNC8	viral	test
A0A7H0DNF5	viral	val
A4GCI4	viral	train
A4GCJ1	viral	train
A4U6V7	viral	train
A7J3A3	viral	val
A8W995	viral	train
A9Q1K8	viral	val
B1NKR0	viral	val
B3SRR3	viral	train
B9VXK4	viral	train
D3YPD5	viral	val
D4N3P3	viral	train
F5H8Y5	viral	train
F5HAR3	viral	train
F5HDD3	viral	train
F5HEZ4	viral	test
F5HFD2	viral	train
F5HG68	viral	train
K9N796	viral	val
M1L4Z5	viral	val
M1L9M0	viral	val
O09686	viral	train
O55653	viral	test
O56263	viral	train
O57174	viral	train
O57208	viral	train
O57227	viral	train
O72736	viral	train
O93117	viral	train
P03232	viral	val
P04012	viral	test
P04492	viral	train
P06165	viral	val
P06417	viral	test
P06497	viral	train
P09284	viral	train
P09289	viral	test
P09291	viral	train
P09855	viral	train
P0C2X3	viral	train
P0C5B5	viral	train
P0C5T8	viral	train
P0C5T9	viral	train
P0C5U2	viral	train
P0C5U4	viral	train
P0C772	viral	train
P0DKA0	viral	train
P0DKA3	viral	test
P0DKA5	viral	train
P0DOI9	viral	test
P0DOM4	viral	train
P0DOM9	viral	train
P0DOS5	viral	test
P0DOW7	viral	train
P0DOW9	viral	test
P0DSP7	viral	train
P0DSU7	viral	test
P0DSW1	viral	test
P0DSY5	viral	train
P0DSZ3	viral	train
P0DSZ9	viral	train
P0DTL8	viral	train
P0DTM9	viral	train
P0DXM1	viral	val
P0DXO7	viral	test
P10202	viral	train
P10227	viral	train
P10234	viral	test
P11318	viral	train
P11319	viral	train
P11324	viral	val
P12490	viral	train
P12491	viral	train
P12835	viral	train
P15136	viral	train
P16200	viral	test
P16202	viral	test
P16628	viral	test
P16779	viral	train
P16784	viral	train
P16792	viral	test
P16808	viral	train
P16837	viral	test
P16843	viral	train
P16844	viral	train
P17175	viral	train
P17384	viral	train
P18571	viral	train
P19717	viral	test
P19718	viral	train
P20497	viral	val
P20499	viral	train
P20539	viral	train
P20716	viral	train
P20980	viral	train
P20990	viral	test
P21009	viral	train
P21027	viral	val
P21053	viral	train
P21061	viral	train
P22157	viral	train
P22421	viral	train
P22424	viral	test
P24104	viral	test
P24110	viral	train
P24284	viral	train
P24436	viral	train
P24446	viral	train
P26015	viral	val
P26033	viral	test
P26035	viral	train
P26147	viral	train
P27417	viral	train
P28055	viral	train
P28085	viral	test
P28086	viral	train
P28275	viral	test
P28857	viral	train
P30118	viral	train
P30890	viral	train
P32534	viral	train
P33062	viral	train
P33871	viral	train
P33876	viral	train
P36350	viral	train
P36355	viral	train
P36356	viral	test
P36385	viral	train
P36715	viral	val
P36732	viral	test
P36733	viral	test
P36844	viral	train
P36852	viral	train
P41325	viral	train
P50789	viral	test
P50816	viral	test
P50818	viral	test
P50825	viral	test
P51897	viral	train
P52376	viral	train
P52384	viral	train
P52387	viral	test
P52438	viral	train
P52440	viral	train
P52447	viral	val
P52456	viral	train
P52457	viral	train
P52464	viral	train
P52467	viral	train
P52474	viral	val
P52519	viral	train
P52530	viral	train
P52537	viral	test
P52541	viral	train
P68451	viral	train
P68461	viral	train
P69338	viral	val
P89429	viral	val
P89444	viral	val
P89455	viral	val
P89464	viral	train
P89465	viral	test
P89478	viral	train
Q00320	viral	val
Q00794	viral	train
Q01427	viral	train
Q01754	viral	val
Q02051	viral	test
Q02515	viral	test
Q02600	viral	train
Q04853	viral	test
Q04965	viral	train
Q07FI0	viral	train
Q0GBY4	viral	test
Q0H8C1	viral	train
Q2HRB2	viral	train
Q3KSR8	viral	val
Q3KST1	viral	train
Q3KST5	viral	val
Q3KST7	viral	train
Q3KSU2	viral	train
Q4JQW0	viral	train
Q4JQW7	viral	train
Q5SC54	viral	train
Q67402	viral	train
Q69549	viral	train
Q6SW63	viral	train
Q6SW87	viral	test
Q6SWB7	viral	train
Q6SWC4	viral	val
Q6SWC6	viral	train
Q6SWD1	viral	train
Q6SWM9	viral	train
Q6V1Q3	viral	train
Q6WBA1	viral	train
Q6XTD9	viral	train
Q76RD1	viral	train
Q7M6N6	viral	val
Q809K1	viral	val
Q80DU8	viral	train
Q82054	viral	train
Q82994	viral	test
Q83885	viral	train
Q86108	viral	test
Q89721	viral	train
Q8B0H4	viral	val
Q8QMY9	viral	val
Q91M95	viral	train
Q98176	viral	train
Q98298	viral	test
Q9DHA8	viral	train
Q9ENZ3	viral	train
Q9J3N2	viral	test
Q9J4L7	viral	train
Q9JF93	viral	train
Q9JFA5	viral	train
Q9PY95	viral	train
Q9QB84	viral	train
Q9QBG0	viral	train
Q9QJ20	viral	train
Q9QJ51	viral	test
Q9WGZ0	viral	train
A0A7H0DN02	viral	train
A0A7H0DN10	viral	train
A0A7H0DN11	viral	val
A0A7H0DN12	viral	train
A0A7H0DN13	viral	train
A0A7H0DN18	viral	train
A0A7H0DN20	viral	train
A0A7H0DN22	viral	val
A0A7H0DN26	viral	train
A0A7H0DN80	viral	val
A0A7H0DN82	viral	train
A0A7H0DNA2	viral	train
A0A7H0DNC0	viral	train
A0A7H0DNC2	viral	val
A0A7H0DND3	viral	val
A0A7H0DND4	viral	train
A0A7H0DND7	viral	train
A0A7H0DND8	viral	train
A0A7H0DNG1	viral	train
A3DRP5	viral	train
A4GCM4	viral	train
B3SRR2	viral	val
B3SRS1	viral	train
B9UYK6	viral	train
F5H9Z4	viral	val
F5HA06	viral	train
F5HA27	viral	train
F5HAE6	viral	train
F5HAI6	viral	test
F5HAY6	viral	train
F5HB40	viral	train
F5HB98	viral	train
F5HC14	viral	test
F5HD27	viral	train
F5HD92	viral	train
F5HDC7	viral	train
F5HF35	viral	train
F5HGK9	viral	train
F5HGN8	viral	train
F5HIC6	viral	train
F5HIM6	viral	train
O55654	viral	train
O57207	viral	val
O57246	viral	train
O57259	viral	train
P03099	viral	train
P03187	viral	train
P03222	viral	test
P03224	viral	train
P04874	viral	train
P05873	viral	test
P06424	viral	train
P06791	viral	train
P08014	viral	test
P08314	viral	train
P09253	viral	train
P09272	viral	train
P09275	viral	val
P09281	viral	train
P09302	viral	train
P09311	viral	train
P09719	viral	train
P09724	viral	train
P0C2X5	viral	train
P0C5T7	viral	train
P0C5U0	viral	train
P0C674	viral	train
P0C770	viral	train
P0CK16	viral	train
P0CK20	viral	train
P0DJX5	viral	test
P0DJX8	viral	train
P0DKA1	viral	test
P0DKA4	viral	test
P0DKB2	viral	train
P0DOD0	viral	train
P0DOD1	viral	train
P0DOG6	viral	train
P0DOL3	viral	val
P0DSP8	viral	train
P0DSQ1	viral	train
P0DSQ9	viral	train
P0DSR7	viral	test
P0DTB5	viral	train
P10187	viral	train
P10545	viral	train
P11315	viral	train
P11316	viral	train
P12448	viral	test
P13879	viral	test
P14267	viral	train
P15137	viral	train
P16196	viral	test
P16204	viral	test
P16595	viral	test
P16735	viral	train
P16772	viral	train
P16781	viral	test
P16812	viral	train
P17043	viral	train
P17760	viral	train
P18047	viral	train
P18100	viral	test
P18611	viral	test
P19739	viral	train
P19741	viral	train
P20496	viral	train
P20500	viral	train
P20532	viral	train
P20535	viral	test
P20641	viral	train
P20983	viral	train
P20989	viral	train
P21013	viral	train
P21014	viral	val
P21026	viral	train
P21047	viral	val
P21058	viral	train
P21063	viral	test
P21065	viral	train
P21066	viral	train
P21068	viral	train
P21070	viral	train
P21089	viral	val
P21090	viral	train
P21114	viral	train
P22162	viral	train
P22486	viral	train
P24441	viral	train
P24831	viral	train
P26537	viral	test
P27019	viral	train
P27020	viral	train
P27224	viral	val
P27232	viral	train
P27427	viral	train
P28087	viral	train
P28865	viral	test
P28987	viral	test
P30007	viral	train
P32535	viral	train
P32990	viral	train
P33054	viral	test
P33482	viral	train
P33851	viral	val
P33852	viral	train
P33865	viral	val
P34011	viral	test
P35423	viral	val
P35768	viral	train
P36731	viral	test
P36734	viral	test
P36735	viral	test
P36738	viral	train
P36855	viral	train
P42927	viral	test
P50641	viral	train
P50815	viral	test
P50819	viral	test
P50821	viral	test
P51896	viral	val
P52342	viral	train
P52343	viral	train
P52348	viral	train
P52360	viral	val
P52381	viral	train
P52382	viral	train
